Country,Age,Fatality
Italy,50-59,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,70-79,YES
Italy,30-39,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,40-49,NO
China,40-49,NO
Italy,70-79,NO
Italy,80,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,40-49,NO
China,50-59,NO
Italy,40-49,NO
Italy,80,YES
Italy,50-59,NO
China,40-49,NO
Italy,30-39,NO
Italy,70-79,YES
Italy,50-59,NO
China,60-69,NO
Italy,80,NO
Italy,30-39,NO
Italy,40-49,NO
China,40-49,NO
Italy,60-69,NO
Italy,80,YES
Italy,80,YES
Italy,50-59,NO
Italy,80,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,60-69,YES
Italy,30-39,NO
Italy,80,YES
China,40-49,NO
Italy,30-39,NO
Italy,20-29,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,30-39,NO
China,70-79,NO
Italy,70-79,NO
Italy,70-79,YES
Italy,50-59,NO
China,20-29,NO
China,20-29,NO
Italy,80,NO
Italy,80,YES
Italy,20-29,NO
Italy,10-19,NO
Italy,20-29,NO
Italy,20-29,NO
China,60-69,NO
Italy,80,YES
China,20-29,NO
Italy,80,NO
Italy,80,YES
Italy,40-49,NO
China,20-29,NO
Italy,80,NO
Italy,70-79,YES
Italy,60-69,NO
Italy,60-69,NO
Italy,80,NO
Italy,80,YES
Italy,50-59,NO
Italy,80,NO
Italy,70-79,YES
China,20-29,NO
Italy,80,NO
Italy,50-59,NO
China,40-49,NO
Italy,40-49,NO
China,50-59,NO
China,70-79,YES
Italy,40-49,NO
Italy,80,YES
Italy,50-59,NO
China,40-49,NO
Italy,80,NO
Italy,80,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,80,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,20-29,NO
Italy,80,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,70-79,YES
Italy,50-59,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,80,NO
China,50-59,NO
Italy,50-59,NO
Italy,80,NO
Italy,50-59,NO
China,50-59,NO
Italy,50-59,NO
Italy,80,YES
Italy,80,NO
Italy,50-59,NO
Italy,20-29,NO
China,60-69,NO
Italy,70-79,NO
Italy,80,NO
China,80,NO
Italy,60-69,YES
Italy,40-49,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,80,NO
Italy,50-59,NO
Italy,80,NO
Italy,80,NO
Italy,40-49,NO
Italy,10-19,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,70-79,YES
Italy,80,YES
Italy,80,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,50-59,NO
China,60-69,NO
Italy,80,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,80,YES
Italy,70-79,YES
Italy,40-49,NO
Italy,80,NO
Italy,40-49,NO
Italy,30-39,NO
Italy,50-59,NO
China,60-69,NO
Italy,20-29,NO
Italy,80,YES
China,60-69,YES
China,40-49,NO
Italy,80,NO
China,50-59,NO
Italy,80,NO
Italy,40-49,NO
Italy,30-39,NO
China,30-39,NO
Italy,70-79,YES
Italy,70-79,NO
Italy,80,NO
Italy,10-19,NO
China,80,NO
Italy,0-9,NO
China,70-79,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,80,YES
China,30-39,NO
China,50-59,NO
Italy,50-59,NO
China,70-79,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,80,YES
Italy,40-49,NO
China,30-39,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,70-79,NO
Italy,20-29,NO
China,60-69,NO
Italy,50-59,NO
Italy,60-69,NO
Italy,70-79,YES
Italy,10-19,NO
Italy,80,NO
Italy,70-79,YES
Italy,70-79,NO
Italy,50-59,NO
Italy,80,NO
Italy,80,YES
Italy,30-39,NO
Italy,70-79,NO
China,40-49,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,40-49,NO
China,80,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,50-59,NO
Italy,30-39,NO
China,50-59,NO
China,50-59,NO
Italy,80,YES
Italy,20-29,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,70-79,YES
Italy,40-49,NO
Italy,30-39,NO
China,50-59,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,80,NO
Italy,70-79,YES
Italy,50-59,NO
Italy,30-39,NO
China,30-39,NO
Italy,80,YES
Italy,80,NO
Italy,80,NO
Italy,30-39,NO
Italy,70-79,NO
Italy,70-79,YES
China,80,NO
Italy,40-49,NO
China,60-69,NO
Italy,40-49,NO
China,60-69,NO
Italy,80,NO
China,40-49,NO
China,50-59,NO
Italy,80,NO
Italy,50-59,NO
China,50-59,NO
Italy,40-49,NO
Italy,60-69,NO
China,60-69,NO
Italy,70-79,NO
Italy,80,NO
Italy,20-29,NO
Italy,50-59,NO
Italy,70-79,YES
Italy,40-49,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,80,NO
Italy,60-69,NO
Italy,70-79,NO
Italy,80,NO
Italy,60-69,NO
Italy,70-79,NO
China,30-39,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,80,NO
Italy,20-29,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,80,YES
Italy,0-9,NO
Italy,80,NO
Italy,70-79,NO
Italy,20-29,NO
Italy,30-39,NO
Italy,60-69,NO
China,30-39,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,80,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,80,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,60-69,NO
Italy,80,NO
Italy,50-59,NO
Italy,70-79,NO
China,50-59,NO
Italy,30-39,NO
Italy,80,NO
Italy,80,NO
Italy,70-79,NO
China,30-39,NO
Italy,50-59,NO
China,30-39,NO
Italy,40-49,NO
China,50-59,NO
Italy,20-29,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,80,YES
Italy,30-39,NO
Italy,50-59,NO
China,0-9,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,80,YES
Italy,80,YES
Italy,40-49,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,80,NO
Italy,80,NO
China,30-39,NO
Italy,40-49,NO
Italy,20-29,NO
China,30-39,NO
Italy,50-59,NO
China,40-49,NO
Italy,30-39,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,80,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,40-49,NO
China,20-29,NO
Italy,70-79,YES
Italy,80,NO
Italy,50-59,NO
China,50-59,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,20-29,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,80,NO
Italy,70-79,NO
Italy,80,NO
Italy,40-49,NO
China,40-49,NO
China,20-29,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,80,YES
Italy,60-69,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,50-59,NO
China,10-19,NO
Italy,80,YES
Italy,50-59,NO
Italy,30-39,NO
Italy,70-79,YES
China,30-39,NO
Italy,80,NO
China,50-59,NO
Italy,40-49,NO
Italy,70-79,YES
Italy,80,NO
Italy,50-59,NO
Italy,80,NO
Italy,40-49,NO
Italy,60-69,YES
Italy,50-59,NO
Italy,80,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,80,NO
Italy,50-59,NO
Italy,80,NO
China,30-39,NO
China,50-59,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,40-49,NO
Italy,80,YES
Italy,50-59,NO
Italy,30-39,NO
Italy,80,YES
Italy,60-69,NO
Italy,30-39,NO
Italy,80,NO
Italy,80,NO
Italy,50-59,YES
Italy,60-69,YES
Italy,80,NO
Italy,70-79,YES
Italy,40-49,NO
Italy,20-29,NO
China,30-39,NO
Italy,80,NO
China,60-69,NO
Italy,70-79,YES
Italy,40-49,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,50-59,YES
Italy,30-39,NO
China,20-29,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,80,YES
Italy,80,NO
Italy,0-9,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,60-69,NO
Italy,70-79,YES
Italy,80,NO
China,50-59,NO
Italy,80,NO
Italy,60-69,YES
Italy,60-69,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,80,NO
Italy,70-79,NO
Italy,50-59,NO
China,30-39,NO
Italy,80,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,80,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,80,YES
Italy,80,NO
China,60-69,NO
Italy,80,NO
Italy,70-79,NO
Italy,40-49,NO
Italy,80,YES
Italy,80,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,20-29,NO
Italy,30-39,NO
Italy,50-59,NO
China,50-59,NO
Italy,50-59,NO
Italy,80,YES
Italy,80,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,80,NO
Italy,40-49,NO
Italy,20-29,NO
Italy,40-49,NO
Italy,50-59,YES
Italy,30-39,NO
Italy,80,NO
Italy,70-79,YES
Italy,30-39,NO
Italy,60-69,NO
Italy,80,YES
Italy,60-69,NO
Italy,80,YES
Italy,40-49,NO
Italy,30-39,NO
Italy,80,YES
Italy,80,YES
Italy,60-69,NO
Italy,30-39,NO
Italy,80,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,80,NO
China,20-29,NO
Italy,60-69,YES
China,50-59,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,60-69,NO
China,40-49,NO
Italy,70-79,NO
Italy,50-59,NO
China,30-39,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,80,NO
China,30-39,NO
Italy,20-29,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,80,YES
Italy,50-59,NO
Italy,40-49,NO
China,60-69,NO
Italy,40-49,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,80,YES
Italy,50-59,NO
Italy,80,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,50-59,NO
China,30-39,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,60-69,YES
Italy,70-79,YES
Italy,80,NO
Italy,10-19,NO
Italy,70-79,NO
Italy,40-49,NO
China,60-69,NO
China,70-79,NO
Italy,60-69,NO
Italy,60-69,YES
Italy,50-59,NO
China,50-59,NO
China,30-39,NO
China,40-49,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,70-79,YES
Italy,40-49,NO
Italy,80,NO
Italy,70-79,NO
China,20-29,NO
China,30-39,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,80,NO
Italy,60-69,NO
Italy,80,NO
Italy,80,YES
Italy,80,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,50-59,NO
China,30-39,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,80,NO
Italy,40-49,NO
China,30-39,NO
Italy,80,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,20-29,NO
Italy,80,NO
Italy,80,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,10-19,NO
Italy,50-59,NO
Italy,80,NO
China,40-49,NO
Italy,60-69,NO
Italy,80,YES
Italy,80,NO
China,50-59,NO
Italy,70-79,NO
Italy,80,NO
Italy,80,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,50-59,NO
China,30-39,NO
Italy,40-49,NO
China,40-49,NO
Italy,50-59,NO
China,60-69,NO
Italy,70-79,NO
Italy,80,NO
Italy,60-69,NO
Italy,80,YES
China,20-29,NO
Italy,80,YES
Italy,70-79,NO
China,40-49,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,50-59,NO
China,30-39,NO
China,60-69,NO
Italy,80,NO
China,60-69,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,80,NO
Italy,60-69,NO
Italy,80,NO
Italy,80,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,80,NO
Italy,80,YES
Italy,80,YES
Italy,70-79,NO
Italy,80,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,80,YES
Italy,50-59,NO
Italy,30-39,NO
Italy,80,NO
Italy,80,YES
Italy,60-69,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,50-59,NO
China,50-59,NO
Italy,20-29,NO
Italy,80,NO
China,50-59,NO
Italy,80,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,80,NO
China,40-49,NO
Italy,30-39,NO
Italy,50-59,YES
Italy,60-69,NO
China,50-59,NO
Italy,40-49,NO
China,60-69,NO
Italy,80,NO
Italy,80,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,20-29,NO
Italy,80,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,80,YES
Italy,60-69,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,80,NO
Italy,0-9,NO
China,30-39,NO
Italy,80,NO
Italy,60-69,NO
Italy,70-79,YES
China,20-29,NO
Italy,70-79,NO
Italy,60-69,YES
Italy,50-59,NO
Italy,20-29,NO
Italy,60-69,YES
Italy,30-39,NO
Italy,80,NO
Italy,80,NO
Italy,80,YES
China,60-69,NO
Italy,20-29,NO
Italy,40-49,NO
China,40-49,NO
Italy,80,NO
Italy,80,NO
Italy,50-59,NO
Italy,60-69,NO
China,40-49,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,40-49,NO
China,40-49,NO
Italy,50-59,NO
China,20-29,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,80,NO
Italy,80,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,80,NO
Italy,80,NO
Italy,80,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,80,NO
China,30-39,NO
Italy,20-29,NO
China,20-29,NO
Italy,80,YES
China,70-79,NO
Italy,60-69,NO
China,40-49,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,20-29,NO
Italy,80,NO
China,40-49,NO
China,50-59,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,80,YES
Italy,50-59,NO
Italy,70-79,NO
Italy,40-49,NO
Italy,80,YES
Italy,80,NO
Italy,80,YES
Italy,40-49,NO
China,60-69,YES
Italy,30-39,NO
Italy,40-49,NO
Italy,80,YES
Italy,50-59,NO
China,60-69,NO
Italy,80,YES
Italy,50-59,NO
Italy,80,YES
Italy,30-39,NO
Italy,70-79,NO
Italy,80,NO
Italy,40-49,NO
Italy,30-39,NO
Italy,80,NO
China,40-49,NO
Italy,20-29,NO
Italy,70-79,NO
Italy,20-29,NO
China,60-69,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,60-69,NO
China,50-59,NO
Italy,80,NO
Italy,70-79,YES
Italy,60-69,NO
Italy,70-79,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,70-79,NO
China,70-79,NO
Italy,80,NO
China,50-59,NO
Italy,80,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,60-69,YES
Italy,80,NO
Italy,80,YES
China,50-59,NO
Italy,50-59,NO
Italy,30-39,NO
China,20-29,NO
Italy,50-59,YES
Italy,50-59,NO
China,60-69,NO
Italy,80,YES
Italy,80,NO
China,70-79,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,50-59,NO
China,30-39,NO
Italy,80,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,30-39,NO
Italy,80,NO
Italy,50-59,NO
Italy,60-69,YES
Italy,30-39,NO
China,20-29,NO
Italy,40-49,NO
Italy,60-69,NO
China,70-79,NO
Italy,50-59,NO
Italy,80,NO
Italy,50-59,NO
Italy,60-69,NO
Italy,80,NO
Italy,50-59,NO
Italy,50-59,NO
Italy,80,NO
Italy,70-79,NO
Italy,40-49,NO
Italy,80,NO
Italy,80,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,60-69,NO
Italy,80,NO
Italy,70-79,YES
Italy,30-39,NO
Italy,80,NO
Italy,70-79,NO
Italy,20-29,NO
Italy,30-39,NO
Italy,60-69,NO
Italy,30-39,NO
China,40-49,NO
China,50-59,NO
Italy,80,YES
China,30-39,NO
Italy,80,NO
Italy,30-39,NO
Italy,80,NO
Italy,40-49,NO
Italy,60-69,NO
China,20-29,NO
Italy,80,NO
Italy,60-69,NO
Italy,80,NO
Italy,30-39,NO
Italy,80,NO
China,50-59,NO
Italy,80,NO
Italy,80,NO
China,30-39,NO
Italy,50-59,NO
Italy,70-79,NO
China,40-49,NO
Italy,80,NO
Italy,60-69,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,80,NO
Italy,20-29,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,70-79,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,80,YES
Italy,80,YES
Italy,80,NO
Italy,60-69,NO
Italy,80,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,80,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,40-49,NO
Italy,80,YES
Italy,80,NO
Italy,80,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,70-79,NO
Italy,80,NO
Italy,60-69,NO
Italy,70-79,YES
Italy,10-19,NO
China,20-29,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,80,NO
China,30-39,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,80,YES
China,30-39,NO
Italy,40-49,NO
Italy,20-29,NO
Italy,50-59,NO
Italy,60-69,NO
China,50-59,NO
Italy,30-39,NO
China,60-69,NO
Italy,80,YES
Italy,60-69,NO
Italy,80,NO
Italy,20-29,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,40-49,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,50-59,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,70-79,NO
Italy,40-49,NO
China,30-39,NO
Italy,40-49,NO
Italy,80,YES
Italy,50-59,NO
Italy,60-69,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,80,NO
Italy,70-79,YES
Italy,80,NO
China,70-79,NO
Italy,70-79,NO
Italy,60-69,NO
Italy,80,YES
Italy,20-29,NO
Italy,50-59,NO
China,60-69,NO
China,50-59,NO
Italy,70-79,NO
Italy,70-79,NO
Italy,50-59,NO
Italy,70-79,NO
Italy,30-39,NO
Italy,50-59,NO
Italy,40-49,NO
Italy,60-69,NO
Italy,30-39,NO
Italy,70-79,NO
Italy,80,YES
Italy,50-59,NO
Italy,80,YES
China,70-79,NO
Italy,60-69,NO
Italy,80,NO
China,60-69,NO
Italy,80,YES
China,30-39,NO
Italy,70-79,NO
Italy,80,NO
Italy,70-79,YES
Italy,80,NO
Italy,50-59,NO
China,70-79,YES
China,60-69,NO
Italy,50-59,NO
Italy,50-59,NO
China,60-69,NO
Italy,80,NO
China,30-39,NO
Italy,60-69,NO
Italy,80,YES
Italy,10-19,NO
China,40-49,NO
Italy,50-59,NO
Italy,40-49,NO
China,40-49,NO
China,30-39,NO
Italy,80,YES
Italy,40-49,NO
Italy,20-29,NO
Italy,80,NO
Italy,50-59,NO
China,60-69,NO
Italy,60-69,NO
Italy,50-59,NO
Italy,40-49,NO
China,50-59,NO
Italy,80,YES
Italy,70-79,NO
Italy,50-59,NO
Italy,80,NO
Italy,70-79,NO
China,50-59,NO
Italy,60-69,NO
Italy,80,NO
Italy,80,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,30-39,NO
Italy,50-59,NO
